150.230.115.48:443#GB 86ms
45.144.51.81:443#PL 87ms
141.105.70.114:443#RU 87ms
77.221.159.149:443#FI 88ms
45.145.6.249:443#NL 99ms
94.177.8.60:443#AT 100ms
193.124.22.20:443#LV 100ms
193.176.179.119:443#FR 103ms
31.129.48.139:443#RU 104ms
156.234.17.144:443#HK 105ms
147.45.76.69:443#SE 107ms
116.204.210.10:443#HK 60ms
18.183.158.211:443#JP 70ms
43.218.77.16:443#ID 91ms
91.184.241.113:443#SE 108ms
77.221.159.149:443#FI 110ms
150.241.75.237:443#SE 116ms
5.187.6.100:443#DE 117ms
35.197.23.75:443#US 127ms
141.148.238.243:443#NL 181ms
152.70.54.5:443#NL 184ms
144.21.42.2:443#NL 191ms
37.1.223.234:443#NL 194ms
178.208.76.84:443#NL 199ms
141.148.226.145:443#NL 201ms
141.144.199.177:443#NL 203ms
130.162.130.105:443#KR 212ms
